,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,ナース評価値,最大連勤違反,最小連勤違反,最小連休違反,週末最大違反,休暇希望違反,最大勤務数違反,最大勤務時間違反, 最小勤務時間違反,禁止勤務パターン数,ONリクエスト,OFFリクエスト
33,6,6,3,3,2,3,3,6,6,0,2,3,6,6,1,2,2,6,6,2,2,3,2,2,6,6,3,3,2,3,6,6,2,2,3,6,6,0,0,0,0,1,6,6,0,0,0,0,0,6,6,6,6,6,3,3,4,6,6,0,2,6,6,3,2,3,3,3,6,6,6,0,1,1,1,2,3,6,6,0,3,3,3,3,3,6,6,2,3,3,3,4,6,6,0,0,6,6,1,2,6,6,6,2,3,3,3,2,2,6,6,0,0,0,0,0,3,6,6,0,2,2,2,3,6,6,1,3,3,3,3,6,6,3,3,3,3,3,6,6,6,6,1,0,2,6,6,1,1,3,2,3,6,6,4,4,4,4,4,6,6,1,0,1,1,0,6,6,6,6,6,6,6,6,6,6,0,1,1,1,3,3,26,0,0,0,0,0,0,0,0,0,26,0,
34,1,0,5,6,6,4,4,6,6,4,4,5,6,6,3,3,3,3,3,6,6,0,1,1,0,0,6,6,0,0,0,0,0,6,6,6,6,6,5,4,5,4,5,5,6,6,0,1,4,6,6,1,0,3,3,3,3,6,6,1,1,3,3,6,6,6,1,0,0,1,0,6,6,1,3,6,6,1,1,1,1,0,6,6,1,1,0,0,3,4,6,6,0,0,0,1,6,6,6,0,0,3,5,6,6,3,3,4,6,6,6,6,6,6,6,1,1,1,1,0,3,6,6,6,6,3,3,3,6,6,0,0,0,5,6,6,1,1,3,3,3,6,6,6,1,5,5,6,6,1,3,3,4,4,6,6,1,1,1,6,6,1,1,0,0,0,6,6,1,0,3,3,4,6,6,1,1,0,0,3,6,6,18,0,0,0,0,0,0,0,0,0,18,0,
35,6,3,3,3,6,6,6,3,3,3,6,6,3,3,3,3,6,6,3,3,3,3,6,6,3,3,3,3,6,6,3,3,3,5,6,6,5,5,5,6,6,6,3,3,3,5,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,6,6,3,3,5,5,5,6,6,6,1,3,3,6,6,6,5,5,5,5,5,6,6,3,5,5,5,6,6,3,3,3,6,6,5,5,5,5,6,6,6,6,3,5,5,5,6,6,6,3,5,5,5,6,6,3,5,5,5,6,6,3,3,3,3,6,6,3,3,3,6,6,3,3,3,3,3,6,6,3,5,5,5,5,6,6,3,3,3,3,6,6,6,3,3,5,6,6,3,3,3,3,5,6,6,3,3,5,6,6,3,3,3,3,6,6,3,3,5,6,6,14,0,0,0,0,0,0,0,0,0,14,0,
36,0,1,0,6,6,5,5,4,4,5,6,6,4,5,5,5,5,6,6,6,6,0,0,0,6,6,0,0,0,6,6,0,1,1,5,6,6,1,1,0,6,6,0,1,0,0,1,6,6,6,6,6,6,6,6,6,0,1,1,1,1,6,6,6,1,0,0,5,5,6,6,0,1,1,1,6,6,1,1,4,6,6,6,6,0,0,1,1,0,6,6,4,4,5,5,4,6,6,6,6,6,6,6,6,6,1,1,5,6,6,1,1,0,0,4,6,6,6,6,1,1,1,4,4,6,6,0,1,0,4,6,6,5,5,5,5,6,6,6,6,6,1,1,0,1,5,6,6,1,1,5,6,6,1,5,4,6,6,0,1,5,6,6,1,0,1,5,4,6,6,0,1,0,4,4,6,6,1,1,1,4,5,25,0,0,0,0,0,0,0,0,0,25,0,
37,6,6,2,5,5,6,6,1,0,2,2,2,6,6,0,0,0,6,6,2,2,2,2,6,6,5,5,5,5,6,6,0,2,2,2,6,6,2,5,5,6,6,0,0,1,0,1,6,6,1,1,0,0,1,6,6,5,5,5,5,5,6,6,0,2,2,2,2,6,6,5,5,5,5,5,6,6,0,0,1,1,5,6,6,0,1,0,2,6,6,1,0,1,6,6,6,6,1,1,5,5,6,6,2,2,5,6,6,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,1,0,1,0,1,6,6,6,6,6,6,6,6,6,2,2,2,2,2,6,6,0,0,1,6,6,1,0,5,5,6,6,2,5,5,6,6,1,0,0,6,6,0,0,1,2,5,6,6,1,2,2,2,2,6,6,6,6,15,0,0,0,0,0,0,0,0,0,15,0,
38,1,1,2,3,2,6,6,6,6,6,6,1,2,3,2,3,6,6,2,2,5,5,5,6,3,3,2,6,1,1,2,6,1,1,2,2,6,6,6,6,1,2,3,3,6,6,3,3,3,3,3,6,6,1,3,2,6,6,2,3,2,6,6,2,3,2,6,2,3,3,6,6,2,3,3,6,6,2,2,2,2,2,6,6,2,2,2,2,2,6,6,3,2,2,3,6,6,1,2,2,6,6,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,3,2,2,3,3,6,6,2,3,2,6,6,2,3,5,6,6,6,6,6,6,6,6,3,3,3,3,2,6,6,6,6,6,3,2,2,3,3,6,6,6,2,3,2,2,3,6,6,2,3,3,6,6,3,2,3,6,6,2,2,2,2,3,8051,0,0,4,4,0,0,0,0,0,51,0,
39,6,6,2,2,2,2,2,6,6,6,0,2,2,2,6,6,2,2,2,6,6,2,2,2,4,6,6,6,6,6,0,4,4,5,4,6,6,4,4,4,6,6,2,2,2,4,6,6,6,6,6,6,6,6,6,6,2,2,5,4,6,6,6,2,2,2,2,4,6,6,2,2,4,4,4,6,6,2,2,2,2,4,6,6,6,2,4,4,4,6,6,6,2,2,4,6,6,2,4,5,6,6,2,2,2,2,2,6,6,6,2,5,4,4,6,6,0,2,2,2,6,6,2,2,5,4,4,6,6,6,6,2,2,4,4,6,6,2,2,2,2,6,6,6,2,2,2,6,6,2,2,4,6,6,6,2,2,2,2,6,6,2,2,2,2,2,6,6,2,2,2,6,6,2,2,2,2,6,6,5,5,5,21,0,0,0,0,0,0,0,0,0,21,0,
40,5,5,5,5,5,6,6,6,6,2,3,6,6,2,2,2,2,6,6,2,3,3,2,2,6,6,3,3,6,6,6,6,6,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,6,6,5,5,6,6,2,2,6,6,2,2,6,6,6,2,2,2,6,6,6,6,6,6,6,6,0,4,5,6,6,6,6,6,4,4,4,6,6,0,2,2,6,6,6,6,3,3,6,6,6,2,3,6,6,6,6,6,2,3,6,6,2,3,6,6,6,6,6,2,2,3,2,2,6,6,6,6,6,2,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,5,6,6,5,5,6,6,6,6,6,6,0,2,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,48,0,0,0,0,0,0,0,0,0,48,0,
41,6,2,2,6,6,6,6,6,6,2,2,6,6,2,2,2,2,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,2,2,6,6,2,2,2,2,4,6,6,6,6,6,6,2,2,6,6,1,1,1,5,6,6,6,6,6,6,2,2,6,6,6,2,2,6,6,6,2,2,6,6,2,5,5,5,4,6,6,6,6,6,4,4,4,4,6,6,4,4,6,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,5,5,6,6,1,2,6,6,6,6,6,6,6,4,5,6,6,6,6,6,6,6,6,2,5,6,6,6,6,6,1,1,1,6,6,6,2,2,4,6,6,6,4,4,6,6,22,0,0,0,0,0,0,0,0,0,22,0,
42,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,3,6,6,6,6,6,6,4,4,6,6,1,3,6,6,3,3,6,6,6,6,6,6,3,3,3,6,6,6,6,6,1,3,3,3,6,6,6,1,4,4,4,4,6,6,6,3,3,6,6,6,6,6,3,3,3,6,6,3,3,6,6,3,4,6,6,1,1,1,1,4,6,6,6,1,3,6,6,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,6,6,6,6,6,3,3,3,6,6,4,4,6,6,6,6,3,4,6,6,6,6,6,6,6,3,3,6,6,4,4,4,4,4,6,6,3,3,6,6,3,3,3,6,6,6,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,0,0,0,0,0,0,0,0,0,7,0,
43,6,6,6,3,3,3,3,6,6,6,6,6,3,3,6,6,6,6,6,3,3,6,6,6,6,6,6,3,3,3,3,3,6,6,6,0,3,6,6,6,6,6,6,6,6,6,6,3,3,3,6,6,6,6,1,0,3,3,6,6,6,6,3,3,6,6,6,6,6,6,6,6,6,6,1,1,1,6,6,1,1,6,6,6,3,3,3,6,6,6,6,6,6,3,3,3,6,6,1,0,6,6,6,6,6,6,6,6,6,6,0,0,6,6,0,0,6,6,6,3,3,3,3,3,6,6,6,6,6,6,6,3,3,3,6,6,1,1,6,6,0,0,6,6,6,6,6,6,3,3,6,6,1,0,6,6,6,6,6,6,0,0,6,6,6,6,6,6,6,6,6,6,3,3,3,6,6,6,6,6,6,6,12,0,0,0,0,0,0,0,0,0,12,0,
44,6,6,6,6,6,6,6,6,6,6,3,2,2,2,6,6,6,6,6,6,6,6,0,0,0,0,6,6,6,0,3,6,6,2,3,6,6,2,3,6,6,6,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,6,6,0,3,3,3,3,6,6,6,6,6,0,0,0,0,3,6,6,0,2,6,6,2,2,2,2,2,6,6,6,6,3,2,6,6,0,0,6,6,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,6,6,1,0,6,6,6,6,6,3,2,2,2,2,6,6,3,2,6,6,6,6,2,2,2,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,3,3,6,6,6,6,17,0,0,0,0,0,0,0,0,0,17,0,
45,6,6,6,6,6,2,2,2,6,6,6,6,6,6,6,6,6,6,0,6,6,4,4,4,6,6,6,6,6,6,6,6,1,3,6,6,4,4,4,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,2,2,2,6,6,6,6,6,4,4,6,6,2,3,6,6,6,6,6,3,6,6,6,6,1,2,6,6,6,0,0,3,6,6,6,3,3,2,6,6,6,6,6,6,6,2,6,6,6,0,2,3,6,6,2,3,6,6,2,6,6,0,2,6,6,1,1,1,6,6,6,6,3,6,6,2,6,6,6,6,6,6,6,6,6,4,4,4,6,6,6,6,6,6,6,2,2,2,6,6,6,6,4,6,6,3,3,3,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,18,0,0,0,0,0,0,0,0,0,17,1,
46,5,6,6,6,6,6,6,4,4,6,6,6,2,2,6,6,6,6,0,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,2,2,6,6,6,6,5,6,6,2,6,6,2,4,6,6,0,0,6,6,6,2,2,6,6,2,6,6,2,2,5,6,6,6,6,6,6,0,2,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,5,6,6,6,6,6,6,4,5,6,6,0,0,5,6,6,2,6,6,5,5,5,6,6,6,6,6,0,6,6,0,0,4,6,6,0,6,6,6,6,6,6,6,2,5,5,6,6,2,6,6,2,2,2,6,6,6,0,6,6,6,6,5,4,5,6,6,6,6,6,6,2,6,6,6,6,2,2,6,6,6,20,0,0,0,0,0,0,0,0,0,20,0,
47,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,3,2,4,6,6,6,2,2,2,6,6,6,6,6,2,3,4,6,6,2,2,6,6,6,2,2,2,6,6,6,4,4,4,6,6,2,6,6,3,3,6,6,6,6,2,6,6,6,2,6,6,4,4,4,6,6,3,2,3,6,6,6,2,3,2,6,6,6,6,6,6,6,6,6,6,6,2,6,6,3,6,6,3,6,6,6,6,6,6,3,2,6,6,6,3,4,6,6,6,6,6,6,6,4,4,6,6,2,6,6,2,2,6,6,2,2,6,6,6,1,0,4,6,6,6,3,2,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,4,6,6,6,6,0,6,6,6,6,3,2,2,6,6,6,6,6,0,0,0,0,0,0,0,0,0,6,0,
48,6,6,3,3,3,6,6,6,6,4,4,4,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,6,6,6,6,2,6,6,6,6,6,4,4,4,6,6,6,6,2,3,3,6,6,3,5,6,6,6,6,6,6,1,1,1,6,6,6,3,6,6,6,6,6,6,6,6,4,4,6,6,5,6,6,6,6,3,3,3,6,6,6,6,6,6,6,6,4,6,6,6,4,4,4,6,6,3,3,2,6,6,2,2,6,6,2,3,2,6,6,1,6,6,6,6,6,6,6,6,4,4,6,6,6,6,3,3,3,6,6,3,6,6,4,4,6,6,6,2,6,6,6,6,2,6,6,3,6,6,6,6,1,1,6,6,6,6,6,2,2,2,6,6,6,6,6,6,6,6,6,13,0,0,0,0,0,0,0,0,0,13,0,
49,6,6,3,6,6,0,3,6,6,6,6,6,6,6,3,3,6,6,6,3,3,6,6,6,6,0,6,6,0,6,6,6,6,3,6,6,3,3,3,6,6,6,6,6,5,5,5,6,6,6,6,3,6,6,6,6,6,5,6,6,3,6,6,3,3,6,6,3,5,6,6,0,0,6,6,6,6,3,6,6,6,6,6,5,5,6,6,6,6,5,6,6,6,6,6,0,6,6,0,6,6,5,6,6,6,6,6,6,6,6,3,3,6,6,6,6,3,6,6,6,6,3,6,6,3,3,6,6,3,3,6,6,6,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,6,6,6,6,3,6,6,0,6,6,6,3,3,3,6,6,6,6,3,3,6,6,3,3,3,6,6,3,3,6,6,33,0,0,0,0,0,0,0,0,0,33,0,
人数違反,14,10,8,10,10,3,100,6,9,6,9,6,100,0,9,7,7,1,2,100,1,15,12,8,1,5,0,1,13,8,2,9,9,300,0,3,1,6,3,8,0,1,6,9,5,8,5,0,1,1,2,1,5,0,100,100,2,100,5,2,4,1,0,4,9,5,8,0,100,2,3,10,4,7,2,200,2,2,4,11,13,0,0,100,8,7,13,4,7,100,0,4,6,4,6,3,2,1,10,5,5,100,2,3,1,10,3,6,0,5,100,900,8,1,2,6,0,300,2,1,5,4,1,1,1,100,3,3,0,1,2,100,3,2,2,7,5,3,200,1,0,8,2,11,6,100,100,2,3,7,7,12,1,100,2,8,4,6,1,1,1,4,6,11,10,11,301,3,7,4,4,7,0,100,100,10,2,10,11,1,0,3,
a1の勤務人数,8,7,5,7,10,5,2,6,7,5,7,5,2,2,5,6,7,4,3,3,4,8,7,7,3,4,3,3,6,4,4,5,4,3,2,4,3,3,6,7,1,3,5,4,6,7,7,3,2,4,3,3,5,3,1,3,5,4,4,3,3,3,2,4,4,3,6,4,3,3,4,5,5,3,5,2,2,5,5,9,3,4,3,2,6,6,9,5,5,2,4,4,7,5,4,4,3,3,9,8,4,2,4,3,4,5,3,5,3,5,3,4,5,4,4,5,3,3,3,5,5,3,3,4,2,2,3,4,3,4,3,3,3,4,5,7,5,5,2,3,3,4,4,5,4,3,4,3,6,2,5,8,2,3,4,3,4,4,3,3,3,5,7,7,7,7,2,3,6,4,7,8,3,2,4,7,3,6,8,5,2,3,
a2の勤務人数,10,6,6,5,2,1,1,5,3,3,4,6,3,2,7,5,3,2,4,3,1,8,7,2,3,4,2,2,9,8,3,7,9,4,2,2,5,7,4,6,4,3,5,7,3,6,6,3,2,3,3,4,2,4,2,2,3,3,4,4,6,2,1,6,6,7,5,5,2,4,6,7,5,8,3,2,3,6,4,5,11,3,3,2,5,6,8,5,5,3,2,5,7,4,4,5,3,3,4,2,6,2,3,3,4,7,6,4,5,5,2,3,6,4,2,4,2,3,2,2,4,4,4,3,2,2,6,2,4,2,4,2,4,3,3,3,5,2,3,2,4,4,4,4,6,3,2,6,3,7,7,6,3,3,5,6,6,6,4,1,3,7,3,10,7,6,4,4,6,4,3,5,2,2,1,6,7,8,5,4,2,4,
d1の勤務人数,7,6,8,9,9,8,8,8,6,7,9,7,6,7,8,7,7,7,7,7,9,7,7,6,7,7,6,7,7,7,8,5,7,8,8,7,7,7,9,7,7,9,7,6,9,8,7,8,7,7,6,9,7,8,7,6,8,8,7,7,7,7,8,6,7,10,6,7,7,7,7,7,8,7,8,7,7,9,7,8,8,9,7,6,6,8,6,8,7,5,7,8,8,8,8,9,8,6,7,8,7,8,7,8,8,6,10,9,8,6,6,5,8,8,8,7,8,7,8,8,9,6,8,8,7,8,10,7,9,10,6,7,6,6,7,6,7,8,7,7,6,9,8,7,8,5,5,8,7,8,8,7,9,8,8,7,8,7,8,8,8,7,7,8,8,7,7,7,8,9,8,7,8,7,6,6,8,8,8,8,7,7,
d2の勤務人数,5,7,9,8,7,7,7,5,7,7,7,6,6,7,8,9,7,5,8,8,7,8,7,7,7,7,8,9,6,6,7,7,7,8,7,7,8,7,9,6,7,6,7,7,8,6,10,7,7,7,8,6,7,8,7,5,8,9,8,7,8,6,7,7,7,8,8,6,8,8,8,7,8,7,7,8,5,7,7,7,8,8,6,5,8,8,7,8,9,6,7,7,7,8,7,9,7,7,7,8,8,6,8,8,7,8,8,7,8,5,6,4,6,7,8,7,9,7,6,8,7,7,9,9,7,7,7,7,8,8,9,7,6,9,9,7,6,9,6,5,10,6,6,6,8,8,7,6,8,7,9,6,8,8,7,7,8,5,10,8,8,7,8,9,9,8,6,5,8,8,7,6,9,6,7,7,8,6,7,8,7,8,
p1の勤務人数,2,2,2,3,2,2,3,3,3,2,3,4,3,2,2,4,1,3,2,2,2,3,3,4,2,2,2,3,2,2,2,2,2,3,2,2,4,3,4,3,2,2,3,2,3,3,2,1,2,2,4,3,3,3,3,2,4,2,2,3,2,2,2,3,5,3,1,3,1,2,3,2,4,4,4,2,4,3,2,4,2,4,2,2,2,3,2,3,1,3,2,4,2,3,3,5,2,1,3,4,2,4,2,2,2,2,3,2,3,1,3,2,2,3,4,2,2,3,1,3,1,1,3,5,2,2,2,2,2,3,1,3,2,4,3,3,3,3,4,2,2,2,3,2,3,3,2,2,2,3,2,2,4,2,3,3,3,2,5,2,1,1,2,3,2,3,2,3,2,4,3,1,4,3,3,4,3,4,3,3,2,3,
p2の勤務人数,4,2,2,2,3,1,1,3,3,3,3,3,1,3,1,2,2,2,3,2,2,2,2,1,1,3,2,1,4,3,2,2,2,2,1,2,3,2,4,2,3,2,4,2,2,4,5,3,1,3,2,3,2,4,2,2,2,5,3,4,4,2,2,4,2,2,2,3,5,1,3,2,3,2,2,2,2,3,3,3,3,5,2,4,3,3,2,3,2,2,3,3,2,4,3,3,2,2,2,4,2,4,2,2,3,3,2,2,2,3,2,3,1,2,5,1,3,3,3,4,1,2,3,2,2,2,2,2,2,2,2,2,2,4,2,3,3,4,3,3,3,6,5,6,3,5,3,2,4,3,3,1,2,3,3,3,3,4,2,2,4,1,2,3,1,2,3,1,3,2,3,3,3,2,3,2,3,1,2,3,3,2,
a1の必要人数,1,3,2,2,2,2,2,3,1,1,2,4,2,2,2,2,2,3,2,3,3,1,2,1,3,2,3,3,2,4,3,2,2,3,2,1,2,2,4,4,1,2,3,2,2,3,5,3,2,3,2,2,1,3,1,3,5,4,2,2,2,3,2,4,3,3,2,4,3,3,3,1,4,1,3,2,2,5,3,2,2,4,3,2,2,2,3,4,1,2,4,3,3,2,1,3,1,2,1,3,1,2,3,1,4,2,3,2,3,2,3,4,1,3,2,2,3,3,3,4,2,1,3,3,1,2,3,2,3,3,3,3,2,2,4,2,3,3,2,3,3,1,3,2,2,3,4,3,3,1,2,3,2,3,3,2,3,2,3,2,3,4,2,3,2,1,2,2,2,2,3,4,3,2,4,2,3,3,2,5,2,2,
a2の必要人数,3,1,1,2,1,1,2,3,2,2,1,3,3,2,1,2,1,2,3,3,1,3,2,2,2,1,2,1,1,2,2,1,2,4,2,2,5,2,3,2,4,3,1,1,2,3,3,3,2,3,3,4,1,4,2,2,2,3,1,3,3,1,1,2,1,3,1,5,2,3,4,2,3,3,3,2,2,4,2,2,2,3,3,2,3,3,1,2,2,3,2,2,5,3,2,3,3,3,2,2,4,2,2,2,3,1,3,1,5,3,2,4,3,4,2,1,2,3,2,2,2,2,3,3,2,2,3,2,4,2,3,2,3,3,2,2,4,2,3,1,4,2,3,2,2,3,2,4,3,2,3,1,2,3,4,2,3,3,3,1,2,4,2,3,2,2,3,3,3,2,3,2,2,2,1,2,5,3,1,3,2,2,
d1の必要人数,7,5,8,7,9,8,8,8,6,7,9,7,6,7,8,7,7,7,7,7,9,7,7,6,7,7,6,7,7,7,8,5,7,8,8,7,7,7,9,7,7,9,7,6,9,8,7,8,7,7,6,9,7,8,7,7,8,8,7,7,7,7,8,6,7,10,6,7,7,7,7,7,8,7,8,8,7,9,7,8,8,9,7,6,6,8,6,8,7,6,7,8,8,8,8,9,8,6,7,8,7,8,7,8,8,6,10,9,8,6,7,8,8,8,8,7,8,9,8,8,9,6,8,8,7,8,10,7,9,10,6,7,6,6,7,6,7,8,7,7,6,9,8,7,8,6,6,8,7,8,8,6,9,9,8,7,8,7,8,8,8,7,7,8,8,7,8,7,8,9,8,7,8,7,7,6,8,8,7,8,7,7,
d2の必要人数,5,7,9,8,7,7,7,5,7,7,7,6,7,7,8,9,7,5,8,9,7,6,7,7,7,7,8,9,6,6,7,7,7,8,7,7,8,7,9,6,7,6,7,7,8,6,10,7,6,7,7,6,7,8,7,5,8,10,8,7,8,6,7,7,7,8,8,6,8,7,8,7,8,7,7,9,5,7,7,7,6,8,6,6,7,8,7,8,9,6,7,7,7,8,7,9,7,7,7,8,8,7,8,8,7,8,8,7,8,5,6,8,6,7,8,7,9,8,6,8,7,7,9,9,7,8,7,7,8,8,9,7,6,9,9,7,6,8,8,5,10,6,6,6,8,8,7,6,8,7,9,5,8,8,7,7,8,5,10,8,8,7,8,9,9,8,7,5,8,8,7,6,9,7,7,6,8,6,7,8,7,8,
p1の必要人数,2,2,2,3,2,2,3,3,2,2,2,2,3,2,2,4,1,3,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,5,2,2,4,3,4,2,2,2,3,1,3,3,2,1,2,2,4,3,3,3,3,2,3,2,2,3,2,2,2,3,2,2,1,3,2,2,3,2,4,4,4,2,4,3,2,4,1,4,2,2,2,3,2,3,1,3,2,4,2,3,3,5,2,1,3,4,2,4,2,2,2,2,3,2,3,1,3,2,1,3,4,2,2,3,1,3,1,1,3,5,2,2,2,2,2,3,1,4,2,4,3,3,2,3,4,2,2,2,3,1,3,3,2,2,2,2,2,2,4,2,3,2,3,2,5,2,1,1,2,3,2,2,3,2,2,4,3,1,4,3,3,4,3,2,3,3,2,3,
p2の必要人数,4,2,2,2,2,1,1,2,2,2,3,3,1,3,1,2,2,2,3,2,2,2,2,1,1,3,2,1,3,1,2,2,2,3,1,2,3,2,4,2,3,2,4,2,2,3,5,3,1,3,2,3,2,4,3,2,2,5,3,4,4,2,2,4,2,2,2,3,5,1,3,1,2,2,2,2,1,3,3,2,3,5,2,4,2,3,2,3,2,2,3,3,2,4,2,3,2,2,2,4,2,4,2,2,3,2,2,2,2,3,2,4,1,2,5,1,3,3,1,4,1,2,3,2,2,2,2,1,2,2,1,2,1,4,2,2,2,4,3,3,3,3,5,1,3,5,3,2,4,3,3,1,2,3,3,1,3,3,2,2,4,1,2,3,1,2,3,1,3,2,3,3,3,2,3,2,3,1,2,3,3,2,
